model,prompt_id,prompt,latency,answer,error,correctness,completeness,instruction_following,usefulness,total_score
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,1,"Объясни студенту 4 курса разницу между хешированием
и симметричным шифрованием.
Ответ должен содержать не более 120 слов.",27.894,,,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,2,"Определи тип события:

После 15 неудачных попыток входа с одного IP-адреса
был выполнен успешный вход администратора.

Выбери один вариант:
норма / подозрительно / критично

Кратко объясни свой выбор.",27.358,,,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,3,"Сожми следующий текст до 5 тезисов:

Информационная безопасность включает комплекс технических,
организационных и правовых мер, направленных на защиту информации.
Основными свойствами защищаемой информации являются
конфиденциальность, целостность и доступность.
Для защиты информационных систем применяются разграничение доступа,
антивирусные средства, межсетевые экраны, резервное копирование,
мониторинг событий и обучение сотрудников.
Особое внимание необходимо уделять человеческому фактору,
поскольку фишинг и социальная инженерия остаются распространёнными
способами атак.",27.702,,,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,4,"Извлеки данные из события:

2026-09-16 10:25:31 пользователь admin
успешно вошёл в систему с IP-адреса 192.168.1.55.

Верни только JSON следующего вида:

{
    ""ip"": """",
    ""user"": """",
    ""timestamp"": """",
    ""event_type"": """"
}",26.194,"{
    ""ip"": ""192.168.1.55"",
    ""user"": ""admin"",
    ""timestamp"": ""2026-09-16 10:25:31"",
    ""event_type"": ""login""
}",,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,5,"Напиши Python-функцию, которая получает строку
и возвращает её SHA-256 хеш в шестнадцатеричном формате.

Используй стандартную библиотеку Python.",20.371,"```python
import hashlib

def sha256_hex(text: str) -> str:
    return hashlib.sha256(text.encode('utf-8')).hexdigest()
```",,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,6,"Найди ошибку в следующем Python-коде и исправь её:

def divide(a, b):
    return a / b

print(divide(10, 0))

Объясни причину ошибки и покажи исправленный вариант.",24.976,,,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,7,"Предложи краткий план первичного анализа подозрительного
входа в корпоративную информационную систему.

Укажи действия специалиста по информационной безопасности
в правильной последовательности.",24.645,,,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,8,"Назови 5 основных рисков использования внешней LLM
для анализа внутренних документов организации.

Для каждого риска дай краткое пояснение.",26.769,,,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,9,"Сформулируй краткое уведомление сотрудникам организации
о запрете передачи паролей, API-ключей и других секретных
данных в публичные AI-сервисы.

Стиль должен быть официально-деловым.",27.174,,,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,10,"Оцени 4 риска AI-агента, имеющего доступ
к корпоративной электронной почте.

Ответь ТОЛЬКО таблицей Markdown со столбцами:

| риск | вероятность | ущерб | мера защиты |

Никакого текста до или после таблицы.",27.767,,,,,,,
