model,prompt_id,prompt,latency,answer,error,correctness,completeness,instruction_following,usefulness,total_score
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,1,"Объясни студенту 4 курса разницу между хешированием
и симметричным шифрованием.
Ответ должен содержать не более 120 слов.",76.818,"Хеширование — односторонняя функция: данные преобразуются в фиксированную хеш-сумму без ключа. Результат необратим, детерминирован и устойчив к коллизиям. Применяется для проверки целостности, цифровых подписей и хеш-таблиц.

Симметричное шифрование — двусторонний процесс: данные преобразуются в шифротекст с помощью секретного ключа, который также используется для расшифровки. Обратимо, обеспечивает конфиденциальность. Алгоритмы (AES, ChaCha20) работают с блоками или потоками, длина шифротекста может варьироваться из-за заполнения.

Ключевые отличия: необратимость vs обратимость; отсутствие ключа vs один общий ключ; фиксированный размер вывода vs переменный; основная цель — целостность vs конфиденциальность.",,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,2,"Определи тип события:

После 15 неудачных попыток входа с одного IP-адреса
был выполнен успешный вход администратора.

Выбери один вариант:
норма / подозрительно / критично

Кратко объясни свой выбор.",21.893,"**критично**

**Объяснение:** 15 неудачных попыток характерны для атаки перебором (brute-force), а успешный вход под учётной записью администратора сразу после них указывает на вероятный взлом с получением повышенных привилегий.",,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,3,"Сожми следующий текст до 5 тезисов:

Информационная безопасность включает комплекс технических,
организационных и правовых мер, направленных на защиту информации.
Основными свойствами защищаемой информации являются
конфиденциальность, целостность и доступность.
Для защиты информационных систем применяются разграничение доступа,
антивирусные средства, межсетевые экраны, резервное копирование,
мониторинг событий и обучение сотрудников.
Особое внимание необходимо уделять человеческому фактору,
поскольку фишинг и социальная инженерия остаются распространёнными
способами атак.",27.003,"1. Информационная безопасность представляет собой комплекс технических, организационных и правовых мер для защиты данных.
2. Базовые свойства защищаемой информации: конфиденциальность, целостность и доступность.
3. Защита ИС обеспечивается разграничением доступа, антивирусами, межсетевыми экранами, резервным копированием и мониторингом.
4. Ключевым элементом защиты является регулярное обучение сотрудников.
5. Человеческий фактор остаётся главной уязвимостью из-за распространённости фишинга и социальной инженерии.",,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,4,"Извлеки данные из события:

2026-09-16 10:25:31 пользователь admin
успешно вошёл в систему с IP-адреса 192.168.1.55.

Верни только JSON следующего вида:

{
    ""ip"": """",
    ""user"": """",
    ""timestamp"": """",
    ""event_type"": """"
}",36.497,"{
    ""ip"": ""192.168.1.55"",
    ""user"": ""admin"",
    ""timestamp"": ""2026-09-16 10:25:31"",
    ""event_type"": ""login_success""
}",,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,5,"Напиши Python-функцию, которая получает строку
и возвращает её SHA-256 хеш в шестнадцатеричном формате.

Используй стандартную библиотеку Python.",25.631,"```python
import hashlib

def sha256_hash(text: str) -> str:
    return hashlib.sha256(text.encode('utf-8')).hexdigest()
```",,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,6,"Найди ошибку в следующем Python-коде и исправь её:

def divide(a, b):
    return a / b

print(divide(10, 0))

Объясни причину ошибки и покажи исправленный вариант.",35.332,"**Ошибка:** `ZeroDivisionError` (деление на ноль).

**Причина:** При вызове `divide(10, 0)` выполняется операция `10 / 0`, которая в Python не определена и вызывает исключение `ZeroDivisionError`.

**Исправленный вариант:**
```python
def divide(a, b):
    if b == 0:
        raise ValueError(""Делитель не может быть равен нулю"")
    return a / b

print(divide(10, 0))  # Вызовет ValueError с понятным сообщением вместо ZeroDivisionError
```",,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,7,"Предложи краткий план первичного анализа подозрительного
входа в корпоративную информационную систему.

Укажи действия специалиста по информационной безопасности
в правильной последовательности.",57.467,"1. **Сбор логов аутентификации** – извлечь время, IP-адрес, имя пользователя, устройство/браузер, метод входа и результат (успех/неудача).  
2. **Анализ источника** – определить геолокацию IP, репутацию (блэклисты), наличие VPN/прокси, внутренний или внешний сегмент сети.  
3. **Проверка параметров аутентификации** – оценить статус MFA, историю смены паролей, количество неудачных попыток перед успешным входом.  
4. **Корреляция с последующей активностью** – проверить SIEM/EDR на доступ к ресурсам, запуск процессов, перемещения внутри системы сразу после входа.  
5. **Сверка с владельцем аккаунта и базовыми профилями** – подтвердить работу пользователя в указанное время, сопоставить с usual behavior, учесть отчеты о потере устройства/карты или командировках.  
6. **Принятие мер изоляции при подтверждении подозрения** – сброс пароля, отзыв активных сессий, блокировка IP или аккаунта, ограничение прав доступа.  
7. **Фиксация результатов и эскалация/закрытие** – занести данные в тикет инцидента, передать на углубленный анализ при необходимости или закрыть по регламенту.",,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,8,"Назови 5 основных рисков использования внешней LLM
для анализа внутренних документов организации.

Для каждого риска дай краткое пояснение.",46.429,"1. **Утечка конфиденциальных данных** — внешняя модель может сохранять отправленные документы в кэш или использовать их для дообучения, делая данные доступными провайдеру и третьим лицам.

2. **Потеря интеллектуальной собственности** — уникальные формулы, алгоритмы или бизнес-логика могут быть раскрыты через ответы модели или включены в её базовые веса при обучении на корпоративных данных.

3. **Нарушение регуляторных требований** — передача документов за границу или в публичное облако может не соответствовать GDPR, ФЗ-152, HIPAA или отраслевым стандартам из-за условий хранения и обработки у провайдера.

4. **Галлюцинации и неточности выводов** — модель способна генерировать правдоподобные, но неверные факты, ссылки или интерпретации, что критично для юридических, финансовых и технических документов.

5. **Зависимость от провайдера и изменение условий** — смена тарифов, API-лимитов, политик конфиденциальности или доступности модели может нарушить непрерывность аналитических процессов организации.",,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,9,"Сформулируй краткое уведомление сотрудникам организации
о запрете передачи паролей, API-ключей и других секретных
данных в публичные AI-сервисы.

Стиль должен быть официально-деловым.",40.627,"**Уведомление**  
**О запрете передачи конфиденциальных данных в публичные AI-сервисы**

Уважаемые коллеги!

В целях обеспечения информационной безопасности компании с [дата] вводится запрет на передачу паролей, API-ключей, токенов доступа и иных секретных данных в публичные AI-сервисы и нейросети.

Просим до отправки запроса проверять поля ввода на наличие конфиденциальной информации. Использование публичных сервисов для обработки секретных данных допускается только после их анонимизирования или замены заглушками.

За нарушение требований данного уведомления предусмотрена ответственность согласно внутреннему регламенту по защите информации. По вопросам соблюдения правил обращайтесь в отдел информационной безопасности.

С уважением,  
Руководство / Отдел ИБ",,,,,,
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive,10,"Оцени 4 риска AI-агента, имеющего доступ
к корпоративной электронной почте.

Ответь ТОЛЬКО таблицей Markdown со столбцами:

| риск | вероятность | ущерб | мера защиты |

Никакого текста до или после таблицы.",58.306,"| риск | вероятность | ущерб | мера защиты |
|---|---|---|---|
| Утечка конфиденциальных данных (экзфильтрация) | Высокая | Высокий | DLP-фильтры, токенизация чувствительных полей, ограничение доступа к внешним LLM-API |
| Непреднамеренные действия (отправка/удаление писем) | Средняя | Средний | Ролевой доступ (RBAC), подтверждение критических операций, аудит логов действий |
| Галлюцинации и некорректный анализ контента | Высокая | Средний | Human-in-the-loop для важных писем, пороги уверенности модели, валидация промптов |
| Перехват сессии/учетных данных через фишинг | Средняя | Высокий | Сканирование и песочница ссылок, ограничение OAuth-скупов, ротация токенов доступа |",,,,,,
