model,prompt_id,prompt,latency,answer,error,correctness,completeness,instruction_following,usefulness,total_score
gemma-4-12b-coder-fable5-composer2.5-v1,1,"Объясни студенту 4 курса разницу между хешированием
и симметричным шифрованием.
Ответ должен содержать не более 120 слов.",13.413,"Hashing is a one-way function that maps any input to a fixed-size digest (e.g. SHA256). It cannot be reversed and preserves integrity rather than secrecy; use it for password storage or checksums. Symmetric encryption uses a single shared key to transform plaintext into ciphertext reversibly (e.g. AES); the goal is confidentiality of data at rest or in transit.

The difference lies in reversibility: hashing destroys information to produce a fingerprint, while symmetric encryption preserves it so it can be recovered with the secret key. Hashing verifies identity; symmetric encryption hides content.",,,,,,
gemma-4-12b-coder-fable5-composer2.5-v1,2,"Определи тип события:

После 15 неудачных попыток входа с одного IP-адреса
был выполнен успешный вход администратора.

Выбери один вариант:
норма / подозрительно / критично

Кратко объясни свой выбор.",7.141,"критично — серия неудачных попыток с последующим успехом указывает на успешный брутфорс или атаку методом перебора паролей именно для учетной записи администратора; это уже не просто подозрение, а факт компрометированного привилегированного аккаунта.",,,,,,
gemma-4-12b-coder-fable5-composer2.5-v1,3,"Сожми следующий текст до 5 тезисов:

Информационная безопасность включает комплекс технических,
организационных и правовых мер, направленных на защиту информации.
Основными свойствами защищаемой информации являются
конфиденциальность, целостность и доступность.
Для защиты информационных систем применяются разграничение доступа,
антивирусные средства, межсетевые экраны, резервное копирование,
мониторинг событий и обучение сотрудников.
Особое внимание необходимо уделять человеческому фактору,
поскольку фишинг и социальная инженерия остаются распространёнными
способами атак.",17.78,"1. Информационная безопасность объединяет технические, организационные и правовые меры защиты информации.
2. Основные цели защиты — конфиденциальность, целостность и доступность данных.
3. Технические средства включают разграничение доступа, антивирусы, межсетевые экраны, резервное копирование и мониторинг событий.
4. Человеческий фактор остается критической точкой уязвимости в защите информационных систем.
5. Фишинг и социальная инженерия остаются распространенными методами атак, требующих внимания.",,,,,,
gemma-4-12b-coder-fable5-composer2.5-v1,4,"Извлеки данные из события:

2026-09-16 10:25:31 пользователь admin
успешно вошёл в систему с IP-адреса 192.168.1.55.

Верни только JSON следующего вида:

{
    ""ip"": """",
    ""user"": """",
    ""timestamp"": """",
    ""event_type"": """"
}",8.486,"```json
{
  ""ip"": ""192.168.1.55"",
  ""user"": ""admin"",
  ""timestamp"": ""2026-09-16 10:25:31"",
  ""event_type"": ""login""
}
```",,,,,,
gemma-4-12b-coder-fable5-composer2.5-v1,5,"Напиши Python-функцию, которая получает строку
и возвращает её SHA-256 хеш в шестнадцатеричном формате.

Используй стандартную библиотеку Python.",4.661,"```python
import hashlib

def sha256_hash(s):
    return hashlib.sha256(s.encode('utf-8')).hexdigest()
```",,,,,,
gemma-4-12b-coder-fable5-composer2.5-v1,6,"Найди ошибку в следующем Python-коде и исправь её:

def divide(a, b):
    return a / b

print(divide(10, 0))

Объясни причину ошибки и покажи исправленный вариант.",7.461,"The bug is division by zero when `b` is `0`, which raises a `ZeroDivisionError`. The function should check for that case before dividing instead of letting the error bubble up to the top-level call.

```python
def divide(a, b):
    if b == 0:
        return None  # Or some other representation of an undefined result
    return a / b

print(divide(10, 0))
```",,,,,,
gemma-4-12b-coder-fable5-composer2.5-v1,7,"Предложи краткий план первичного анализа подозрительного
входа в корпоративную информационную систему.

Укажи действия специалиста по информационной безопасности
в правильной последовательности.",7.894,"1. Собрать логи входа (время, источникп, статус).
2. Выделить аномалии: новый IP/гео, странное время суток.
3. Сопоставить с историей пользователя (базовый профиль против текущего события).
4. Оценить риск (успешный вход vs неудачный brute-force).
5. Сформировать вердикт для принятия решения (инцидент/ложный сигнал).",,,,,,
gemma-4-12b-coder-fable5-composer2.5-v1,8,"Назови 5 основных рисков использования внешней LLM
для анализа внутренних документов организации.

Для каждого риска дай краткое пояснение.",11.376,"1. **Утечка конфиденциальных данных**: риск передачи имен сотрудников, финансовых показателей или личной информации третьим лицам через ввод в модель.
2. **Разглашение коммерческой тайны**: попадание уникальной интеллектуальной собственности организации на внешние сервера может привести к конкурентному ущербу.
3. **Использование для обучения модели**: данные могут быть использованы разработчиком LLM для дообучения, что делает внутреннюю информацию доступной другим пользователям.
4. **Нарушение требований комплаенса и GDPR**: обработка документов на внешних платформах может нарушать законы о защите данных и корпоративные политики безопасности.
5. **Риск инъекции промптов**: злоумышленник может манипулировать модель через ввод, чтобы она выдала скрытую информацию из обрабатываемых документов.",,,,,,
gemma-4-12b-coder-fable5-composer2.5-v1,9,"Сформулируй краткое уведомление сотрудникам организации
о запрете передачи паролей, API-ключей и других секретных
данных в публичные AI-сервисы.

Стиль должен быть официально-деловым.",11.215,"**Уведомление сотрудникам организации: запрет передачи секретных данных в публичные сервисы ИИ**

Для обеспечения безопасности систем и защиты конфиденциальной информации категорически запрещается передавать пароли, API-ключи и любые другое секретное содержимое в публичные нейросети (ChatGPT, Gemini и др.). Нарушение данного требования создает риск компрометирования учетных данных организации и влечет дисциплинарную ответственность. По всем вопросам обращащаться к системному администратору.",,,,,,
gemma-4-12b-coder-fable5-composer2.5-v1,10,"Оцени 4 риска AI-агента, имеющего доступ
к корпоративной электронной почте.

Ответь ТОЛЬКО таблицей Markdown со столбцами:

| риск | вероятность | ущерб | мера защиты |

Никакого текста до или после таблицы.",13.171,"| риск | вероятность | ущерб | мера защиты |
| --- | --- | --- | --- |
| утечка конфиденциальных данных клиентов или сотрудников | Средняя | Высокий | Маскирование PII и контроль доступа к чувствительным полям |
| использование агента для фишинга под видом компании | Низкая | Критическийий | Ограничение прав на отправку внешних писем и мониторинг действий |
| манипуляция важной информацией в цепочке переписки | Средняя | Высокий | Валидация ответов через человеческий контроль перед сохранением изменений |
| выполнение несанкционированных действий от имени пользователя | Низкая | Критическийий | Ограничение прав на действие и использование подтверждений для критических команд |",,,,,,
