№ и тип,Содержание задания
1. Объяснение,"Объяснить разницу между хешированием и симметричным шифрованием, не более 120 слов."
2. Классификация,Классифицировать событие после 15 неудачных попыток и успешного входа администратора.
3. Суммаризация,Сжать текст по информационной безопасности до 5 тезисов.
4. Структурирование,"Извлечь ip, user, timestamp и event_type и вернуть только JSON."
5. Код,Написать  Python -функцию вычисления  SHA -256 строки.
6. Отладка,Найти и исправить ошибку деления на ноль в  Python -коде.
7. Аналитика,Предложить последовательный план первичного анализа подозрительного входа.
8. Информационная безопасность,Назвать 5 рисков применения внешней  LLM  для внутренних документов.
9. Деловой текст,Составить официальное уведомление о запрете передачи секретов в публичные  AI -сервисы.
10. Жёсткий формат,"Оценить 4 риска  AI -агента с доступом к почте, ответить только  Markdown -таблицей."
