model,prompt_id,prompt,latency,answer,error,correctness,completeness,instruction_following,usefulness,total_score
google/gemma-3n-e4b,1,"Объясни студенту 4 курса разницу между хешированием
и симметричным шифрованием.
Ответ должен содержать не более 120 слов.",7.669,"Хеширование и симметричное шифрование – это разные методы обеспечения безопасности данных.

**Хеширование** – это одностороннее преобразование данных в строку фиксированной длины (хеш). Хеш нельзя восстановить обратно в исходные данные. Используется для проверки целостности данных и хранения паролей.

**Симметричное шифрование** использует один и тот же ключ для шифрования и дешифрования данных. Обеспечивает конфиденциальность, скрывая смысл данных.  Ключ должен быть надежно защищен. 

Основное отличие: хеширование – одностороннее, а симметричное шифрование – двустороннее.
",,,,,,
google/gemma-3n-e4b,2,"Определи тип события:

После 15 неудачных попыток входа с одного IP-адреса
был выполнен успешный вход администратора.

Выбери один вариант:
норма / подозрительно / критично

Кратко объясни свой выбор.",2.458,"**Подозрительно.**

Объяснение: Большое количество неудачных попыток входа, за которыми следует успешный вход, может указывать на попытку перебора паролей (brute-force attack). Это подозрительное поведение, требующее проверки безопасности.
",,,,,,
google/gemma-3n-e4b,3,"Сожми следующий текст до 5 тезисов:

Информационная безопасность включает комплекс технических,
организационных и правовых мер, направленных на защиту информации.
Основными свойствами защищаемой информации являются
конфиденциальность, целостность и доступность.
Для защиты информационных систем применяются разграничение доступа,
антивирусные средства, межсетевые экраны, резервное копирование,
мониторинг событий и обучение сотрудников.
Особое внимание необходимо уделять человеческому фактору,
поскольку фишинг и социальная инженерия остаются распространёнными
способами атак.",5.253,"1. Информационная безопасность – комплексная защита информации (техническая, организационная, правовая).
2. Основные свойства защищаемой информации: конфиденциальность, целостность, доступность.
3. Методы защиты информационных систем: разграничение доступа, антивирусы, межсетевые экраны, резервное копирование, мониторинг, обучение персонала.
4. Человеческий фактор – уязвимое место, требующее внимания (фишинг, социальная инженерия).
5. Цель информационной безопасности – защита информации от несанкционированного доступа и повреждения.
",,,,,,
google/gemma-3n-e4b,4,"Извлеки данные из события:

2026-09-16 10:25:31 пользователь admin
успешно вошёл в систему с IP-адреса 192.168.1.55.

Верни только JSON следующего вида:

{
    ""ip"": """",
    ""user"": """",
    ""timestamp"": """",
    ""event_type"": """"
}",2.813,"```json
{
    ""ip"": ""192.168.1.55"",
    ""user"": ""admin"",
    ""timestamp"": ""2026-09-16 10:25:31"",
    ""event_type"": ""login""
}
```",,,,,,
google/gemma-3n-e4b,5,"Напиши Python-функцию, которая получает строку
и возвращает её SHA-256 хеш в шестнадцатеричном формате.

Используй стандартную библиотеку Python.",4.489,"```python
import hashlib

def get_sha256_hash(text):
  """"""Возвращает SHA-256 хеш строки в шестнадцатеричном формате.""""""
  sha256_hash = hashlib.sha256(text.encode('utf-8')).hexdigest()
  return sha256_hash
```
",,,,,,
google/gemma-3n-e4b,6,"Найди ошибку в следующем Python-коде и исправь её:

def divide(a, b):
    return a / b

print(divide(10, 0))

Объясни причину ошибки и покажи исправленный вариант.",8.346,"**Ошибка:** Деление на ноль.

**Причина:** В Python деление на ноль вызывает исключение `ZeroDivisionError`.

**Исправленный код:**

```python
def divide(a, b):
    if b == 0:
        return ""Деление на ноль недопустимо""
    return a / b

print(divide(10, 0))
```

**Объяснение исправления:** Добавлена проверка на случай, когда `b` равно нулю. Если `b` равно нулю, функция возвращает сообщение об ошибке вместо попытки деления на ноль. Это предотвращает возникновение исключения и делает код более надежным.
",,,,,,
google/gemma-3n-e4b,7,"Предложи краткий план первичного анализа подозрительного
входа в корпоративную информационную систему.

Укажи действия специалиста по информационной безопасности
в правильной последовательности.",16.983,"**Краткий план первичного анализа подозрительного входа:**

1.  **Идентификация и подтверждение:** Подтвердить факт подозрительной активности (логи, оповещения).
2.  **Оценка масштаба:** Определить, какие системы затронуты и насколько глубоко проникли.
3.  **Сохранение доказательств:** Сделать снимки систем (memory dump, logs) для последующего анализа.
4.  **Изоляция:** Отключить скомпрометированные системы от сети.
5.  **Первичная оценка рисков:** Определить потенциальный ущерб и критичность данных.

**Действия специалиста по ИБ в правильной последовательности:**

1.  **Получение уведомления о подозрительной активности.**
2.  **Идентификация источника и характера события (логи, SIEM).**
3.  **Оценка потенциального воздействия (системы, данные).**
4.  **Сохранение доказательств (снимки памяти, журналы событий).**
5.  **Изоляция скомпрометированных систем.**
6.  **Начальный анализ для определения вектора атаки и целей злоумышленника.**
7.  **Уведомление заинтересованных сторон (руководство, юридический отдел).**
8.  **Разработка плана дальнейших действий (расследование, восстановление).**
",,,,,,
google/gemma-3n-e4b,8,"Назови 5 основных рисков использования внешней LLM
для анализа внутренних документов организации.

Для каждого риска дай краткое пояснение.",7.037,"1. **Утечка данных:** LLM может случайно или намеренно раскрыть конфиденциальную информацию из внутренних документов.
2. **Неточность и предвзятость:** LLM может генерировать неточные, вводящие в заблуждение или предвзятые результаты анализа.
3. **Нарушение соответствия нормативным требованиям:** Использование LLM может привести к нарушению правил защиты данных (например, GDPR) и других нормативных требований.
4. **Проблемы с безопасностью:**  LLM может быть уязвима для атак, направленных на получение доступа к данным или манипулирование результатами анализа.
5. **Зависимость от стороннего поставщика:** Организация становится зависимой от доступности и политики стороннего поставщика LLM.



",,,,,,
google/gemma-3n-e4b,9,"Сформулируй краткое уведомление сотрудникам организации
о запрете передачи паролей, API-ключей и других секретных
данных в публичные AI-сервисы.

Стиль должен быть официально-деловым.",2.899,"Уведомление:

В целях обеспечения информационной безопасности настоятельно запрещается передавать пароли, API-ключи и другие конфиденциальные данные в публичные сервисы искусственного интеллекта. Данное требование необходимо для предотвращения несанкционированного доступа к ресурсам организации.
",,,,,,
google/gemma-3n-e4b,10,"Оцени 4 риска AI-агента, имеющего доступ
к корпоративной электронной почте.

Ответь ТОЛЬКО таблицей Markdown со столбцами:

| риск | вероятность | ущерб | мера защиты |

Никакого текста до или после таблицы.",7.61,"| риск | вероятность | ущерб | мера защиты |
|---|---|---|---|
| Утечка конфиденциальной информации | Высокая | Очень высокий | Строгий контроль доступа, шифрование, мониторинг активности, обучение сотрудников. |
| Несанкционированное изменение данных | Средняя | Высокий | Разграничение прав доступа, аудит изменений, резервное копирование, системы обнаружения вторжений. |
| Распространение дезинформации/фейковых новостей от имени компании | Средняя | Средний | Обучение сотрудников распознаванию фейков, контроль контента, политики использования AI-агента. |
| Непреднамеренные действия, приводящие к сбоям в работе системы | Низкая | Средний | Тестирование, мониторинг производительности, механизмы отката, ограничение возможностей AI-агента. |
",,,,,,
